campus,requirement_key,curriculum,location,location_slug,location_term_id,available,specific_name,english,general,profile_note,note,minimum,grade_12,grade_11,recommended_grade_range,suggested_subjects
vancouver,arts,countries,Bermuda,bermuda,541,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bermuda Secondary School Certificate. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Bolivia,bolivia,540,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Botswana,botswana,757,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Standing in at least six academic subject areas (GCSE, AS Levels, A Levels), including English, with at least three academic A Levels or six AS Levels. A subject may not be counted at both A Level and GCSE. A Level and AS Level courses that are not sufficiently academic in content (as determined by UBC) cannot be used. A minimum grade of C in English Literature or English Language at the GCSE, AS, or A Level. If you studied British-patterned education, you may be eligible for first-year credit at UBC. Learn more about how first-year credit is granted to see if you are eligible.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Brazil,brazil,708,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Certificado de Ensino Médio. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable. Results from the Exame Nacional do Ensino Médio (ENEM).",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,British Virgin Islands,british-virgin-islands,562,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Brunei,brunei,552,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Brunei-Cambridge General Certificate of Education Ordinary Level (GCE O-Level) Brunei-Cambridge Advance Level Certificate of Education (GCE A-Level) Standing in at least six academic subjects, including English, with at least three academic A-Level subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Cameroon - British,cameroon,553,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: General Certificate of Education O-Level General Certificate of Education A-Level Standing in at least six academic subjects, including English, with at least three academic A-Level subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Cameroon - French,cameroon-french,583,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,Graduation from a university-preparatory program at a senior secondary school: Baccalauréat Général / Baccalauréat de l’Enseignement du second degré,,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Cayman Islands,cayman-islands,563,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Chile,chile,756,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Licencia de Educación Media. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,China,china-2,537,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Upper Middle School Report of Grades. Huikao or Academic proficiency test results provided by China Credentials Verification (CSSD). Gaokao examinations results provided by CSSD. UBC expects students to achieve a minimum provincial Tier 1 university cut-off score. If you are not writing the Gaokao, you must submit three or more Advanced Placement (AP) exam results in three or more distinct subjects. Competitive results must be achieved in these examinations.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Colombia,colombia,536,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable. One full year of post-secondary studies in a recognized university: All certificates must be transmitted directly from the institution and must be official, bearing seal of institution, and signature of authorizing university officer. Photocopies are acceptable if certified by authorizing officer. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Costa Rica,costa-rica,755,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable. One full year of post-secondary studies in a recognized university: All certificates must be transmitted directly from the institution and must be official, bearing seal of institution, and signature of authorizing university officer. Photocopies are acceptable if certified by authorizing officer. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Czech Republic,czech-republic,754,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Vysvědčeni o maturitní zkoušce/Maturita (Secondary School Leaving Certificate) from an academic secondary school. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Denmark,denmark,753,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Studentereksamen (Upper Secondary School Leaving Certificate) Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Dominica,dominica,564,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Ecuador,ecuador,752,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Egypt – 11 Years of Education,egypt-11-years-of-education,531,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Thaanawiya’aama (General Secondary School Certificate). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable. One full year of post-secondary studies in a recognized university: All certificates must be transmitted directly from the institution and must be official, bearing seal of institution and signature of authorizing university officer. Photocopies are acceptable if certified by authorizing officer. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Egypt – 12 Years of Education,egypt,550,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Thaanawiya ‘aama – General Secondary School Certificate. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,El Salvador,el-salvador,751,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachiller Academico. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Ethiopia,ethiopia,750,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Ethiopian Higher Education Entrance Examination. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Finland,finland,749,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Ylioppilastutkintotodistus/Studentexamensbetyg (Certificate of Matriculation). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,France (French Baccalaureate),france,748,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Completion of the baccalauréat général or the baccalauréat général (option internationale). The baccalauréat technologique may be considered for admission on a case-by-case basis. The baccalauréat professionnel does not comprise a basis of admission to UBC. Math Informatique does not satisfy the math requirement for admission to UBC’s science-based programs, the Faculty of Management, the UBC Sauder School of Business, or the Vancouver School of Economics.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Germany,germany,747,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Abitur/Zeugnis der Allgemeinen Hochschulreife. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Ghana,ghana,746,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,Graduation from a university-preparatory program at a senior secondary school: West African Senior School Certificate,,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Gibraltar,gibraltar,554,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: General Certificate of Education O-Level General Certificate of Education A-Level Standing in at least six academic subjects, including English, with at least three academic A-Level subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Greece,greece,524,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Apolytirio Eniaiou Lykeiou – Απολυτήριο Ενιαίου Λυκείου. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Grenada,grenada,565,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Guatemala,guatemala,694,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable. One full year of post-secondary studies in a recognized university: All certificates must be transmitted directly from the institution and must be official, bearing seal of institution, and signature of authorizing university officer. Photocopies are acceptable if certified by authorizing officer. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Guyana,guyana,566,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Honduras,honduras,671,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Certificates must be in a sealed school envelope. Notarized copies are not acceptable. One full year of post-secondary studies in a recognized university: All certificates must be transmitted directly from the institution and must be official, bearing seal of institution, and signature of authorizing university officer. Photocopies are acceptable if certified by authorizing officer. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Hong Kong,hong-kong,551,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Hong Kong Diploma of Secondary Education (HKDSE). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable. Standing in four core subjects and two elective subjects. (Category B Applied Learning Subjects are not acceptable).",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,India,india,745,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Higher Secondary School Certificate awarded on completion of Standard XII. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Indonesia,indonesia,744,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Surat Tanda Tamat Belajar Sekolah Menengah Umum Tingkat Atas (STTB SMA) or Certificate of Completion of Upper Secondary School. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Iran,iran,520,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: High School Diploma. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Ireland,ireland,519,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Ardteistiméireacht (Leaving Certificate). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
